epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,269.5,0.75991,0.8386,0.28995,0.50049,0.92224,0.99464,1,0.9945,0.83238,0.99464,1,0.9945,0.881,0.67242,0.53018,0.05954,0.37768,0.83771,0.000610789,0.000610789,0.000610789
66,273.109,0.7208,0.87557,0.27623,0.47089,0.90432,0.99462,1,0.99365,0.83209,0.99462,1,0.99365,0.86567,0.66568,0.55692,0.05764,0.3742,0.8339,0.000594286,0.000594286,0.000594286
67,276.703,0.72427,0.90577,0.27596,0.48384,0.89757,0.99379,1,0.9935,0.83296,0.99379,1,0.9935,0.8814,0.67539,0.53164,0.05759,0.37278,0.83599,0.000577782,0.000577782,0.000577782
68,281.627,0.74384,0.80509,0.27732,0.48262,0.91094,0.98993,1,0.99205,0.83875,0.98993,1,0.99205,0.88133,0.66689,0.5316,0.05801,0.37229,0.83756,0.000561279,0.000561279,0.000561279
69,285.482,0.74401,0.79167,0.2422,0.4827,0.89529,0.99001,1,0.9914,0.82541,0.99001,1,0.9914,0.87274,0.69246,0.51464,0.05606,0.37868,0.83781,0.000544776,0.000544776,0.000544776
70,289.036,0.76463,0.85028,0.27941,0.48618,0.90939,0.99344,1,0.9927,0.83241,0.99344,1,0.9927,0.874,0.66494,0.53574,0.05528,0.36498,0.83457,0.000528272,0.000528272,0.000528272
71,293.339,0.72282,0.8745,0.26362,0.46697,0.89863,0.995,0.99957,0.9937,0.82958,0.995,0.99957,0.9937,0.86794,0.69239,0.53629,0.05469,0.37313,0.83524,0.000511769,0.000511769,0.000511769
72,297.909,0.7307,0.85808,0.25287,0.47085,0.89782,0.9947,1,0.9936,0.83963,0.9947,1,0.9936,0.87621,0.64976,0.51304,0.05385,0.36542,0.82962,0.000495266,0.000495266,0.000495266
73,301.46,0.72789,0.82398,0.27832,0.46841,0.91528,0.99465,1,0.9933,0.83473,0.99465,1,0.9933,0.87342,0.65527,0.52487,0.05334,0.36124,0.82985,0.000478762,0.000478762,0.000478762
74,305.014,0.73502,0.80374,0.26257,0.47445,0.89705,0.99427,1,0.9925,0.83736,0.99427,1,0.9925,0.88375,0.66088,0.49922,0.05516,0.36259,0.83116,0.000462259,0.000462259,0.000462259
